genotype,plant_id,spp,nTreatment,temp,phoper,aamb,amax,Carbon,ce,co2comp,co2sat,dr,D13C,lcp,LMA,lsp,jmax,Nitrogen,netqe,pnue,SLA,vcmax
pa,pah,pa,high,25,10,12.66854381,21.61536356,48.52111134,0.082382483,50.55085543,312.9290075,-0.995648489,-27.67918158,14.75565275,0.002765617,238.575672,94.0303209,4.675762692,0.056601478,95.9327929,361.5830116,65.9702136
pa14,pa14h,pa,high,25,10,13.65924868,22.84100218,45.33437882,0.075897399,50.91241577,351.8582006,-1.138558383,-28.9954623,16.88552184,0.0037723,245.9603107,87.2685031,5.780915145,0.0596279,62.63600169,265.0902837,39.9598357
pa5,pa5h,pa,high,25,10,15.23754173,22.13951079,49.72826094,0.077797072,47.44366974,332.0239288,-1.027499394,-28.8887531,15.39802605,0.003215791,271.3260415,79.6927423,5.766466095,0.059538389,88.37281856,310.965435,45.3187382
pa7,pa7h,pa,high,25,10,9.088965037,21.33165547,47.36561783,0.11853741,41.4665172,221.4236752,-0.977085683,-28.38966459,14.47244653,0.002493905,250.7202553,101.8058349,4.735302152,0.056955901,76.96384553,400.9775171,62.9898735
pa14,pa14m,pa,med,25,10,7.360466933,19.80255628,45.11379888,0.071832993,48.42895537,324.1038997,-0.571966664,-28.99059524,9.947654123,0.00325321,167.3807057,102.0394769,3.405806405,0.046752997,67.49980242,307.388664,49.6042687
pa,pam,pa,med,25,10,9.57086604,19.80255628,44.1967944,0.071832993,48.42895537,324.1038997,-0.874009846,-28.146068,13.05554168,0.00421875,185.9832687,120.8971928,3.14491522,0.055346047,72.46383205,237.037037,61.0126287
pa6,pa6m,pa,med,25,10,10.85164239,19.15452113,45.40104507,0.046347916,53.55267407,466.829536,-0.854655864,-29.30281293,14.04696211,0.003029979,223.7009975,102.0394769,2.654852105,0.051759759,117.1006436,330.0353357,49.6042687
pa5,pa5m,pa,med,25,10,11.00363053,19.5383043,44.82898831,0.068049159,48.64907159,335.7695096,-0.556968621,-28.80577034,3.362352074,0.005282443,240.9405321,80.55357992,3.150173401,0.04631583,122.5518505,189.3063584,40.58347722
pa7,pa7m,pa,med,25,10,11.00920742,19.48065563,45.63871436,0.065169981,56.30559896,355.2262873,-0.718135594,-28.98181576,13.67446221,0.003331519,239.0001553,88.290991,2.505510034,0.048859086,131.8917534,300.1633987,46.6684036
pa6,pa6l,pa,low,25,10,6.571531357,16.08190023,45.17396369,0.06798677,54.78730669,291.3318602,-0.787442865,-27.53694571,16.78909562,0.003830906,137.3780118,73.0313519,2.637325083,0.054495318,66.31805577,261.0348469,30.839857
pa14,pa14l,pa,low,25,10,7.001791521,14.15493779,47.4373914,0.022553468,54.79673633,682.4136465,-0.620556066,-28.89280342,10.395088,0.003213343,168.2803411,62.8971564,3.205471209,0.044347343,52.02006683,311.2023898,27.9731004
pa5,pa5l,pa,low,25,10,7.417142687,19.44794694,43.76789051,0.05033416,52.04516553,438.4218743,-0.548059981,-28.86546529,8.171228958,0.003981549,153.9570166,73.6337725,3.397797522,0.050876994,64.94819899,251.1585366,29.0961333
pa15,pa15l,pa,low,25,10,8.297091619,23.79961198,44.37725081,0.06540735,52.18225,416.0497955,-1.041965714,-28.3613065,17.06523077,0.004052685,181.0174651,112.0173353,3.28284211,0.050606761,86.07029375,246.75,49.8315351
pa7,pa7l,pa,low,25,10,9.810914987,17.80528784,40.76839115,0.055318541,51.87995293,373.7483113,-0.292234539,-30.90561849,7.380550017,0.003241935,212.0498963,56.0291089,2.2496732,0.047935439,134.5196442,308.4577114,25.2829468
pa,pal,pa,low,25,10,10.15917161,18.69108464,29.55181904,0.045711823,34.75163336,175.7942155,-0.765199387,-28.99876389,13.69574496,0.003561532,213.7103615,84.0877634,2.070980708,0.050792146,128.0503384,280.778032,41.6550468
pa14,pa14h,pa,high,32,14,10.32600478,16.79368691,47.68086137,0.038839705,80.22934475,512.613856,-1.186364201,-31.34468414,13.6500555,0.003287867,188.9995379,102.461102,4.167296427,0.05888814,77.11180189,304.148535,33.512452
pa7,pa7h,pa,high,32,14,10.47652073,26.21917697,47.22429448,0.064749709,66.23262641,471.1638174,-1.430394373,-30.19171484,17.64633799,0.003855146,182.6608387,109.791631,3.598407962,0.063488485,75.5206813,259.3935791,38.1527644
pa5,pa5h,pa,high,32,14,10.6364037,28.38068847,47.6159617,0.069230989,59.68988261,469.6318603,-1.898622035,-30.90000423,29.48126178,0.004383169,220.0708059,120.269483,3.495961161,0.055807908,76.41456711,228.1454545,42.484173
