genotype,plant_id,spp,nTreatment,temp,phoper,aamb,amax,Carbon,ce,co2comp,co2sat,dr,D13C,lcp,LMA,lsp,jmax,Nitrogen,netqe,pnue,SLA,vcmax
pa6,pa6h,pa,high,32,14,10.94560376,16.1107364,51.88953745,0.034943356,71.10048302,532.1534051,-0.622640983,-31.35129583,5.492710184,0.003224313,215.6993317,60.7517201,4.485603591,0.05207069,75.68007818,310.1435407,23.2556744
pa15,pa15h,pa,high,32,14,11.6828437,30.01892374,21.54690322,0.051663876,68.86576647,649.90858,-1.070141359,-30.03022171,15.42016677,0.00293645,194.6747238,132.6592,1.82094269,0.065174598,183.2806398,340.5472637,44.44427
pa,pah,pa,high,32,14,11.88727972,27.22298909,49.95142309,0.048356992,59.61682919,622.57552,-1.350368156,-29.71907475,21.68426448,0.003566785,245.2205969,109.6205189,3.872454186,0.053178289,87.42427862,280.3645402,38.62582748
pa,pam,pa,med,32,14,6.597629141,14.49335046,41.29133523,0.029456253,79.35355531,571.3832294,-0.663529321,-32.0503592,7.565038812,0.003637224,127.2316869,57.1021504,1.706500824,0.0551334,106.2946368,274.9349523,19.0521339
pa6,pa6m,pa,med,32,14,7.647089381,19.72337281,41.26553065,0.041526066,60.75805824,535.7217291,-1.165888669,-31.07993253,18.93664369,0.003490566,156.3814842,74.5515278,2.3958178,0.055637515,109.5433996,286.4864865,22.2260383
pa14,pa14m,pa,med,32,14,8.320534638,17.67754166,44.57081302,0.041412107,67.49874119,494.3676668,-1.037681357,-30.05417695,16.72058697,0.003002472,173.4066218,69.986326,2.210392374,0.053103231,142.9023907,333.058898,24.5943258
pa15,pa15m,pa,med,32,14,8.813724563,18.48478961,45.46554136,0.043384542,69.39560903,502.788226,-1.327557322,-30.87950385,17.73148165,0.002850242,166.7017713,67.1827285,2.11849553,0.059164311,130.9637497,350.8474576,21.8502428
pa7,pa7m,pa,med,32,14,10.44263571,17.84692735,49.51787533,0.047960525,75.95131083,448.0683214,-1.028019178,-30.40881329,11.72967848,0.004139044,180.4401754,73.8525784,2.828702455,0.061896775,89.19137271,241.6017009,26.3425428
pa5,pa5m,pa,med,32,14,10.46610514,22.68275579,44.28626473,0.056567761,63.41637959,464.4001831,-1.407005705,-31.44901966,21.89787374,0.00329466,204.1496946,91.8804309,3.027276517,0.057426615,100.468442,303.5214255,34.9644827
pa15,pa15l,pa,low,32,14,5.140103756,19.19393478,40.52044956,0.038020262,76.6268018,581.46116,-0.90520997,-30.79261349,18.68816169,0.003002472,148.3970483,76.5340795,2.159405134,0.039628,69.14049902,333.058898,22.6493038
