plant_id,spp,nTreatment,temp,phoper,pfd,photo,cond,ci,,
cs44high,cs,high,32,10,500,6.537076833,0.205811678,323.4132505,,
cs44high,cs,high,32,10,200,4.64916604,0.200217178,340.8172563,,
cs44high,cs,high,32,10,100,3.271198461,0.192394465,353.0909843,,
cs44high,cs,high,32,10,75,2.191299468,0.184377359,362.9256054,,
cs44high,cs,high,32,10,50,1.181125014,0.175536907,372.2712496,,
cs44high,cs,high,32,10,25,1.058190864,0.16330612,373.3534212,,
cs44high,cs,high,32,10,0,-0.873397201,0.144542046,395.5390214,,
csw7high,cs,high,32,10,1200,4.329564963,0.130939891,323.6102997,,
csw7high,cs,high,32,10,1000,4.295727331,0.107156168,312.731661,,
csw7high,cs,high,32,10,500,3.17313086,0.091232842,323.2514135,,
csw7high,cs,high,32,10,200,2.433266392,0.082796504,333.3695111,,
csw7high,cs,high,32,10,100,1.26160503,0.074520367,355.336258,,
csw7high,cs,high,32,10,75,0.987212955,0.070387347,360.5057461,,
csw7high,cs,high,32,10,50,0.65958416,0.065241856,367.201095,,
csw7high,cs,high,32,10,25,-0.082116339,0.061714243,386.3298873,,
csw7high,cs,high,32,10,0,-1.242096503,0.052819036,422.6805659,,
csw3high,cs,high,32,10,1200,5.373661388,0.24730805,340.0035015,,
csw3high,cs,high,32,10,1000,5.28992349,0.234297698,338.6086389,,
csw3high,cs,high,32,10,500,4.280644064,0.216768539,345.7040304,,
csw3high,cs,high,32,10,200,2.524412976,0.204637805,360.2909692,,
csw3high,cs,high,32,10,100,1.246413507,0.193955286,371.6313307,,
csw3high,cs,high,32,10,75,1.022318059,0.188076623,375.1744412,,
csw3high,cs,high,32,10,50,0.914536477,0.181456631,376.204354,,
csw3high,cs,high,32,10,25,0.077998531,0.173043839,384.6597356,,
csw3high,cs,high,32,10,0,-0.999951256,0.149858957,395.4079976,,
cshigh,cs,high,32,10,1200,6.218329154,0.200005185,326.5591991,,
cshigh,cs,high,32,10,1000,6.081941489,0.17846154,321.7356222,,
cshigh,cs,high,32,10,500,4.612052573,0.156689041,331.7325695,,
cshigh,cs,high,32,10,200,2.774140879,0.146871258,351.3260536,,
cshigh,cs,high,32,10,100,1.838125652,0.140464567,362.3552596,,
cshigh,cs,high,32,10,75,1.227766196,0.141609364,370.2469586,,
cshigh,cs,high,32,10,50,0.574751002,0.144562307,378.6527624,,
cshigh,cs,high,32,10,25,0.156653395,0.145306046,384.3683533,,
cshigh,cs,high,32,10,0,-1.249409394,0.142892264,401.98912,,
csw6high,cs,high,32,10,1200,5.193809149,0.199152089,334.1336151,,
csw6high,cs,high,32,10,1000,4.883157233,0.180015825,332.9553783,,
csw6high,cs,high,32,10,500,3.737365329,0.161093342,341.3361413,,
csw6high,cs,high,32,10,200,2.507161605,0.145514246,353.4150108,,
csw6high,cs,high,32,10,100,1.053291791,0.13244587,370.3338952,,
csw6high,cs,high,32,10,75,0.952945334,0.123313861,370.9674167,,
csw6high,cs,high,32,10,50,0.633341746,0.112025918,374.8313889,,
csw6high,cs,high,32,10,25,-0.221358644,0.102611321,388.2120024,,
csw6high,cs,high,32,10,0,-1.093831972,0.094235959,404.0695904,,
csw7low,cs,low,32,10,1200,3.936699953,0.25144493,353.1792663,,
csw7low,cs,low,32,10,1000,3.414711776,0.226285587,355.1171006,,
csw7low,cs,low,32,10,500,2.117387106,0.201999066,364.5928379,,
